"","gfs_full","gfs_reduced"
"GC00000419_r1_1",1,1
"GC00000451_1",1,1
"GC00000311_1",1,1
"GC00000323_1",1,1
"GC00000546_1",1,1
"GC00000201_1",1,1
"GC00000005_1",1,1
"GC00000410_1",1,1
"GC00000589",1,1
"GC00000583",1,1
"GC00000585",1,1
"GC00000584",1,1
"GC00000240_1",1,1
"GC00000471_1",1,1
"GC00000241_1",1,1
"GC00000047_1",1,1
"GC00000368_1",1,1
"GC00000435_1",1,1
"GC00000045_2",1,1
"GC00000045_1",1,1
"GC00000344_1",1,1
"GC00000344_2",1,1
"GC00000419_1",1,1
"GC00000419_2",1,1
"GC00000104_1",1,1
"GC00000348_1",1,1
"GC00000041_2",1,1
"GC00000041_1",1,1
"GC00000010_1",1,1
"GC00000413_1",1,1
"GC00000342_1",1,1
"GC00000029_1",1,1
"GC00000010_2",1,1
"GC00000409_r1_1",1,1
"GC00000010_3",1,1
"GC00000320_1",1,1
"GC00000203_2",1,1
"GC00000295_2",1,1
"GC00000432_1",1,1
"GC00000152_1",1,1
"GC00000027_2",1,1
"GC00000027_3",1,1
"GC00000324_1",1,1
"GC00000337_r1_1",1,1
"GC00000308_1",1,1
"GC00000105_1",1,1
"GC00000411_2",1,1
"GC00000608",1,1
"GC00000609",1,1
"GC00000602",1,1
"GC00000603",1,1
"GC00000600",1,1
"GC00000601",1,1
"GC00000606",1,1
"GC00000604",1,1
"GC00000605",1,1
"GC00000009_1",1,1
"GC00000038_3",1,1
"GC00000457_3",1,1
"GC00000457_2",1,1
"GC00000457_1",1,1
"GC00000406_2",1,1
"GC00000295_1",1,1
"GC00000109_1",1,1
"GC00000048_1",1,1
"GC00000301_1",1,1
"GC00000418_1",1,1
"GC00000164_r1_1",1,1
"GC00000320_2",1,1
"GC00000617",1,1
"GC00000047_r1_1",1,1
"GC00000231_1",1,1
"GC00000048_r1_1",1,1
"GC00000401_1",1,1
"GC00000164_1",1,1
"GC00000164_2",1,1
