GC,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.006800,97.580548,[ 45.0288 36.3058 35.5174 15.2412 17.882 15.1512 30.0696 24.0414 26.489 138.184 ],19.588930,[ 53.226 24.4786 26.1752 11.9078 13.5502 11.392 22.6228 20.211 33.722 150.3898],131.460056
0.006900,127.181183,[ 44.9882 30.8426 19.4204 18.2362 24.5342 15.4678 14.5836 23.2754 27.3904 150.3928],13.436228,[ 46.1144 26.8494 24.7348 23.2986 15.253 20.8148 22.4208 19.7202 27.956 145.5648],113.431361
0.007000,97.959547,[ 50.9432 40.0512 18.4226 20.9742 21.0796 18.557 13.3718 28.1026 30.3364 141.2194],11.265837,[ 55.3902 33.8618 29.0938 19.239 15.8372 20.5888 21.7022 25.3164 31.6454 135.8442],80.909202
0.007100,88.708449,[ 46.9884 41.7926 23.514 20.3884 23.0476 18.9606 19.22 26.1964 27.8446 138.1076],15.806918,[ 50.4588 27.054 18.2504 17.4454 20.26 14.8132 16.4394 20.0188 31.3298 151.6844],129.688104
0.007200,105.531722,[ 54.1296 27.8852 24.6202 17.4066 17.4156 16.965 20.5526 20.8856 32.5444 144.2526],7.755157,[ 53.2448 32.1146 17.1832 14.996 15.8048 13.515 15.3272 24.3628 34.3866 149.073 ],124.407272
0.007300,88.591518,[ 54.686 34.8176 24.065 21.965 14.0804 22.823 18.4196 23.8994 31.8258 138.7618],5.352866,[ 56.9346 34.3852 23.0698 19.8856 22.3178 17.4184 18.3992 26.3248 32.7816 136.751 ],82.418525
0.007400,116.085559,[ 44.4742 32.0586 22.3302 19.321 19.6892 17.2386 17.9736 23.2608 28.1484 147.0448],7.561451,[ 48.0634 33.3206 15.4868 24.577 16.3702 21.0332 13.4634 24.7474 30.1106 145.722 ],115.485269
0.007500,82.560555,[ 53.7426 38.1104 22.525 18.59 24.0822 17.4716 19.9484 25.8296 31.5004 136.1794],23.397519,[ 51.299 34.0544 16.7326 24.1764 10.9304 20.2114 13.9224 25.4554 31.906 146.202 ],115.574591
0.007600,94.274890,[ 48.2908 39.1482 21.3084 23.8736 15.7954 21.8544 18.146 25.5134 28.842 139.8848],17.401089,[ 55.8222 23.6582 21.452 23.859 20.642 21.8266 18.2454 17.018 34.1712 141.9998],102.182803
0.007700,89.185385,[ 50.5978 35.637 21.6072 23.5974 24.0102 20.0022 16.2694 24.7552 30.0104 138.4858],18.671805,[ 44.6218 28.8376 13.1438 16.0154 22.6314 13.9022 11.37 22.43 28.9892 156.5316],153.437663
0.007800,108.101472,[ 44.346 37.0706 19.8644 24.0342 14.5978 22.757 16.046 25.892 28.1398 143.2264],19.618192,[ 45.927 28.0206 25.0532 14.369 12.3496 14.3806 22.1922 20.4414 29.3524 152.559 ],136.217375
0.007900,121.469659,[ 51.1406 32.1744 15.666 19.9462 15.7442 17.9666 14.0374 24.6566 30.767 148.6152],13.929215,[ 52.9968 23.1814 18.1436 17.1082 29.1786 15.4876 14.3634 17.5318 32.337 149.479 ],128.599916
0.008000,88.440417,[ 52.377 32.8206 23.4878 26.3162 15.6236 22.4596 19.4758 23.308 31.0414 138.231 ],26.197355,[ 58.3772 36.5304 18.4292 12.7146 13.6734 12.7896 18.6652 28.023 36.1242 142.5644],107.721672
0.008100,137.630403,[ 45.5322 27.2206 17.191 17.3618 26.1298 15.5126 14.0784 20.6778 28.581 152.8416],13.489925,[ 51.0288 27.5468 21.7742 19.5472 14.4652 18.0152 19.021 21.2276 32.057 146.7178],115.512626
0.008200,99.128186,[ 56.4186 29.3996 25.7546 19.2754 14.2864 18.3054 20.7914 20.0046 34.2906 142.6218],6.189842,[ 49.9412 29.1334 18.9656 16.6292 12.07 16.4664 16.6816 22.0842 32.2904 151.7694],132.387881
0.008300,98.620184,[ 52.526 34.7138 23.6594 20.5948 13.6598 18.2354 21.3434 23.9446 30.328 142.78 ],16.159255,[ 47.4968 27.44 26.53 11.689 18.8398 11.5298 23.2432 20.2842 29.6162 150.9826],131.456859
0.008400,98.090239,[ 46.8328 38.5108 23.3006 18.8846 20.1464 17.889 19.3814 26.6662 27.8592 141.4074],4.089329,[ 43.3642 31.673 24.4722 18.3958 16.2508 17.8034 19.4266 22.5664 26.0758 149.7562],123.282265
0.008500,77.333080,[ 51.3816 40.1736 25.8154 24.033 21.4078 20.5318 18.5822 27.273 28.1136 135.1872],33.511822,[ 58.9346 27.4416 17.6916 23.3236 9.0374 22.8372 14.7444 21.2096 37.9754 142.9918],110.861958
0.008600,78.104988,[ 53.0894 38.9498 22.254 26.8804 16.3656 23.5192 18.0434 28.179 30.0726 133.8766],18.377060,[ 53.6632 25.654 24.7262 21.7516 10.4844 19.489 20.4098 19.1414 33.8308 145.5234],112.728058
0.008700,102.928360,[ 57.7704 33.751 18.1214 15.4252 23.941 13.545 15.4636 25.993 34.0106 142.696 ],24.844895,[ 50.919 28.2808 21.994 23.7334 11.7466 22.3128 18.5182 19.1368 31.948 146.0424],113.261213
0.008800,88.218536,[ 52.9802 31.016 26.3292 25.0266 17.8962 22.7994 19.7782 21.5168 29.6466 139.2058],2.608067,[ 53.313 35.8902 24.2646 21.2702 17.5254 19.5818 19.5214 25.1422 30.6908 138.2402],86.475895
0.008900,91.080079,[ 56.134 31.3806 25.776 19.0844 18.5102 16.6304 22.0518 22.1378 32.2446 140.2882],7.786873,[ 48.3744 27.3816 19.96 17.025 14.4444 16.1224 16.8146 21.098 30.4528 153.0618],135.139758
0.009000,90.488948,[ 53.511 36.055 24.2798 26.0436 8.5096 23.3502 20.4908 24.7274 31.2976 137.7874],15.211421,[ 52.3682 31.765 20.7878 16.1916 14.395 15.1066 17.8778 24.5584 31.6058 148.2258],117.849891
0.009100,96.843187,[ 46.593 38.4214 21.3706 22.993 19.3876 19.6074 17.869 28.5232 26.3696 140.4202],16.955440,[ 53.0078 25.6476 17.6758 20.6486 12.7968 19.3876 14.7852 21.063 33.5784 149.4752],126.436356
0.009200,126.393391,[ 44.7476 32.329 21.0512 19.937 12.656 18.152 17.3298 23.8432 27.9698 150.1198],6.693983,[ 54.571 31.1918 23.0908 14.4724 14.4398 14.4218 19.7992 24.5744 33.6022 144.9878],110.329118
0.009300,93.105094,[ 56.766 31.467 20.6288 23.1166 17.8498 20.3876 18.3902 21.4126 32.7686 141.0948],19.490661,[ 64.5584 24.623 15.3816 14.9092 19.776 11.7998 13.7964 20.2042 42.2818 145.9212],122.023406
0.009400,78.853636,[ 63.2088 35.7976 20.217 20.004 17.223 19.6624 17.7856 25.2242 36.7452 135.4336],4.514495,[ 56.1754 42.6714 19.331 19.138 18.2838 17.1654 17.7138 31.252 31.5416 135.7302],83.926745
0.009500,115.250683,[ 48.2198 34.491 22.6204 15.711 15.0422 16.131 19.1482 24.085 30.3546 146.8778],1.693504,[ 47.206 31.7824 22.4348 17.0562 20.0576 16.1834 18.6364 23.562 29.1224 146.4592],113.903168
0.009600,84.968935,[ 52.938 30.8838 25.0704 25.459 21.1954 23.7118 19.3214 20.804 30.2722 137.4156],37.114646,[ 47.7394 33.676 20.3036 12.1828 12.1906 11.9344 18.7148 25.5912 30.3224 152.7578],137.772836
0.009700,85.019957,[ 56.9194 30.2192 23.572 21.2282 25.57 18.2794 19.7088 21.4466 32.8364 137.6742],14.186107,[ 55.0792 29.4598 17.3308 16.206 15.128 15.228 15.101 23.352 35.1568 148.3446],122.074008
0.009800,114.902426,[ 46.6446 34.493 20.83 21.7932 15.5072 18.624 18.2188 22.8596 27.772 147.9248],12.743935,[ 51.226 30.0602 18.736 13.1568 10.8968 13.0612 16.2448 24.012 33.5364 153.0484],139.717502
0.009900,91.187789,[ 53.1662 34.8824 23.322 20.0132 19.8464 18.0154 18.048 24.5696 31.8286 140.0026],7.845731,[ 49.556 25.5624 27.5056 19.346 15.9362 18.7598 22.7406 19.6618 29.7594 145.383 ],111.200186
0.010000,96.378640,[ 51.659 34.071 19.4274 25.5342 19.394 23.1858 14.3968 24.5632 29.4796 141.0038],18.629654,[ 40.7964 23.9952 27.3958 23.0364 17.6522 20.2114 23.4664 16.5696 25.7488 148.7764],127.091765
