HGT,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000370,25048.564145,[2.97458333e+02 1.20833333e+00 0.00000000e+00 9.79166667e-01 2.08333333e-02 6.87500000e-01 2.08333333e-02 5.45833333e+00 3.25166667e+02 9.66697917e+03],407.362544,[6.50291667e+02 2.52083333e+00 2.91666667e-01 2.70833333e-01 1.45833333e-01 2.08333333e-01 7.91666667e-01 2.24166667e+01 6.78479167e+02 9.30197917e+03],22695.192071
0.000380,25149.302485,[2.95520833e+02 7.91666667e-01 4.16666667e-02 6.87500000e-01 6.25000000e-02 8.33333333e-01 2.08333333e-02 4.93750000e+00 3.19000000e+02 9.69195833e+03],394.743698,[6.40937500e+02 2.33333333e+00 2.70833333e-01 3.12500000e-01 2.08333333e-01 2.91666667e-01 7.08333333e-01 2.21875000e+01 6.57541667e+02 9.28945833e+03],22695.918647
0.000390,25072.570923,[3.06916667e+02 1.04166667e+00 0.00000000e+00 1.10416667e+00 2.08333333e-02 8.12500000e-01 2.08333333e-02 5.91666667e+00 3.30312500e+02 9.68187500e+03],403.886416,[6.50395833e+02 2.29166667e+00 3.75000000e-01 3.33333333e-01 2.08333333e-01 2.50000000e-01 5.62500000e-01 2.22916667e+01 6.92479167e+02 9.29320833e+03],22651.677751
0.000400,25121.330754,[2.93666667e+02 7.50000000e-01 2.08333333e-02 1.06250000e+00 8.33333333e-02 7.50000000e-01 8.33333333e-02 4.95833333e+00 3.16541667e+02 9.68181250e+03],436.609996,[6.52604167e+02 2.66666667e+00 2.29166667e-01 3.33333333e-01 1.25000000e-01 8.33333333e-02 8.12500000e-01 2.38333333e+01 6.84958333e+02 9.28543750e+03],22628.133561
0.000410,25067.700414,[3.00020833e+02 1.14583333e+00 2.08333333e-02 8.12500000e-01 2.08333333e-02 6.45833333e-01 0.00000000e+00 4.97916667e+00 3.21312500e+02 9.67175000e+03],376.203708,[6.28000000e+02 2.68750000e+00 1.87500000e-01 2.29166667e-01 2.29166667e-01 1.25000000e-01 6.25000000e-01 2.33125000e+01 6.58270833e+02 9.33010417e+03],22845.357086
0.000420,25152.981031,[2.88541667e+02 9.16666667e-01 0.00000000e+00 7.91666667e-01 0.00000000e+00 5.00000000e-01 6.25000000e-02 5.33333333e+00 3.14479167e+02 9.68725000e+03],356.289620,[5.99500000e+02 1.97916667e+00 4.16666667e-01 2.91666667e-01 1.45833333e-01 2.29166667e-01 3.75000000e-01 1.96458333e+01 6.44770833e+02 9.34141667e+03],22955.019738
0.000430,24984.536121,[3.00145833e+02 1.02083333e+00 0.00000000e+00 1.02083333e+00 4.16666667e-02 8.75000000e-01 0.00000000e+00 5.58333333e+00 3.19833333e+02 9.64722917e+03],406.432664,[6.42604167e+02 2.58333333e+00 2.29166667e-01 1.04166667e-01 3.54166667e-01 2.29166667e-01 6.25000000e-01 2.30208333e+01 6.74875000e+02 9.31325000e+03],22747.537464
0.000440,25036.132802,[3.01041667e+02 1.08333333e+00 2.08333333e-02 8.54166667e-01 0.00000000e+00 9.79166667e-01 2.08333333e-02 6.04166667e+00 3.26583333e+02 9.66631250e+03],329.758271,[6.04395833e+02 1.91666667e+00 3.95833333e-01 1.66666667e-01 2.70833333e-01 2.29166667e-01 7.08333333e-01 1.99166667e+01 6.34166667e+02 9.33575000e+03],22939.981841
0.000450,25125.299447,[2.83770833e+02 1.41666667e+00 2.08333333e-02 8.95833333e-01 0.00000000e+00 7.50000000e-01 8.33333333e-02 5.10416667e+00 3.10416667e+02 9.67502083e+03],384.920731,[6.08645833e+02 2.81250000e+00 3.12500000e-01 2.70833333e-01 2.29166667e-01 2.08333333e-01 3.75000000e-01 2.07083333e+01 6.54625000e+02 9.30770833e+03],22815.621628
0.000460,25072.522558,[2.93437500e+02 1.16666667e+00 0.00000000e+00 1.10416667e+00 0.00000000e+00 7.08333333e-01 2.08333333e-02 5.27083333e+00 3.17729167e+02 9.66827083e+03],289.094602,[5.70395833e+02 2.41666667e+00 3.75000000e-01 4.79166667e-01 2.70833333e-01 3.54166667e-01 6.25000000e-01 1.76875000e+01 6.02062500e+02 9.38462500e+03],23198.731317
0.000470,25180.592209,[2.83729167e+02 1.18750000e+00 4.16666667e-02 9.58333333e-01 0.00000000e+00 7.70833333e-01 4.16666667e-02 4.89583333e+00 3.09791667e+02 9.69066667e+03],320.781751,[5.74833333e+02 1.93750000e+00 3.75000000e-01 3.12500000e-01 1.04166667e-01 1.87500000e-01 3.95833333e-01 1.93333333e+01 6.06958333e+02 9.34308333e+03],23049.624818
0.000480,25210.390868,[2.80791667e+02 1.00000000e+00 2.08333333e-02 1.06250000e+00 0.00000000e+00 8.33333333e-01 2.08333333e-02 4.66666667e+00 3.03437500e+02 9.69460417e+03],341.458508,[5.85791667e+02 1.85416667e+00 2.50000000e-01 2.70833333e-01 2.29166667e-01 3.75000000e-01 5.20833333e-01 1.83333333e+01 6.14333333e+02 9.37427083e+03],23124.120318
0.000490,25226.519067,[2.79354167e+02 1.08333333e+00 6.25000000e-02 1.14583333e+00 2.08333333e-02 7.50000000e-01 8.33333333e-02 4.85416667e+00 2.98750000e+02 9.69654167e+03],296.425807,[5.48625000e+02 2.18750000e+00 2.08333333e-01 4.16666667e-01 6.25000000e-01 1.45833333e-01 6.04166667e-01 1.55000000e+01 5.88541667e+02 9.40893750e+03],23337.624639
0.000500,25190.399283,[2.79562500e+02 1.31250000e+00 4.16666667e-02 1.31250000e+00 2.08333333e-02 8.75000000e-01 4.16666667e-02 4.97916667e+00 3.00895833e+02 9.68745833e+03],224.273094,[5.03291667e+02 1.83333333e+00 2.91666667e-01 2.70833333e-01 3.12500000e-01 2.91666667e-01 4.58333333e-01 1.35625000e+01 5.42812500e+02 9.46175000e+03],23654.414032
